No.,Symbol,Name,% Weight,Shares
1,,Corn Future Mar 26,36.32%,767
2,,Corn Future Dec 26,35.47%,731
3,,Corn Future May 26,30.54%,645
4,,Admacm,23.01%,"11,238,078"
5,,HARLEY DAVIDSON FINL SVCS INC 0%,15.55%,"7,609,000"
6,FGTXX,Goldman Sachs Financial Square Government Fund,13.39%,"6,540,339"
7,,US BANK MMDA - USBGFS 9,13.24%,"6,468,213"
8,,"VW Credit, Inc. 0%",10.21%,"5,000,000"
9,,Brookfield Infrastructure Holdings Canada Inc 0%,10.21%,"5,000,000"
10,,Campbell's Company/The,5.11%,"2,500,000"
11,,"Mondelez International, Inc. 0%",5.09%,"2,500,000"
12,,DEPOSITS WITH BROKER FOR SHORT POSITIONS,1.81%,"885,313"
13,,Cash Offset,-99.98%,"48,828,425"
