No.,Symbol,Name,% Weight,Shares
1,ETR:SAP,SAP SE,2.44%,"308,673"
2,LON:RR,Rolls-Royce Holdings plc,2.29%,"5,201,635"
3,BME:SAN,"Banco Santander, S.A.",2.12%,"7,310,509"
4,ETR:RHM,Rheinmetall AG,2.06%,"35,027"
5,ASX:CBA,Commonwealth Bank of Australia,2.00%,"604,754"
6,ETR:ALV,Allianz SE,1.95%,"161,608"
7,LON:HSBA,HSBC Holdings plc,1.87%,"4,640,327"
8,TYO:6758,Sony Group Corporation,1.81%,"2,177,000"
9,ETR:ENR,Siemens Energy AG,1.77%,"504,895"
10,BME:IBE,"Iberdrola, S.A.",1.64%,"2,742,839"
11,TYO:7974,"Nintendo Co., Ltd.",1.43%,"578,800"
12,LON:BATS,British American Tobacco p.l.c.,1.39%,"918,770"
13,SPOT,Spotify Technology S.A.,1.36%,"71,712"
14,BIT:UCG,UniCredit S.p.A.,1.31%,"614,638"
15,TYO:7011,"Mitsubishi Heavy Industries, Ltd.",1.29%,"1,539,800"
16,BME:BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",1.28%,"2,210,233"
17,TSX:RY,Royal Bank of Canada,1.27%,"293,587"
18,ETR:DTE,Deutsche Telekom AG,1.16%,"1,187,285"
19,AEM,Agnico Eagle Mines Limited,1.04%,"228,950"
20,BIT:ISP,Intesa Sanpaolo S.p.A.,1.01%,"5,347,953"
13,TSX:ALA,AltaGas Ltd.,0.10%,"110,754"
214,BIT:TIT,Telecom Italia S.p.A.,0.10%,"5,632,661"
215,LON:ADM,Admiral Group plc,0.10%,"75,906"
216,EPA:AM,Dassault Aviation société anonyme,0.10%,"10,119"
217,LON:SMIN,Smiths Group plc,0.09%,"97,852"
218,1.HK,CK HUTCHISON HOLDINGS LTD,0.09%,"483,000"
219,TYO:7012,"Kawasaki Heavy Industries, Ltd.",0.09%,"41,100"
38,TSX:STN,Stantec Inc.,0.08%,"24,359"
239,TYO:1802,Obayashi Corporation,0.08%,"162,400"
240,BME:IAG,International Consolidated Airlines Group S.A.,0.08%,"504,266"
241,SGX:J36,Jardine Matheson Holdings Limited,0.08%,"44,800"
242,STO:TELIA,Telia Company AB (publ),0.08%,"674,414"
243,OSL:GJF,Gjensidige Forsikring ASA,0.08%,"96,943"
244,TSX:ATRL,AtkinsRéalis Group Inc.,0.08%,"36,827"
245,OSL:ORK,Orkla ASA,0.08%,"245,793"
80,TSX:GIL,Gildan Activewear Inc.,0.04%,"23,008"
281,LON:ENT,Entain Plc,0.04%,"127,390"
282,ETR:EVD,CTS Eventim AG & Co. KGaA,0.04%,"14,903"
283,TSX:KEY,Keyera Corp.,0.04%,"44,963"
284,TYO:4716,Oracle Corporation Japan,0.04%,"14,000"
285,EBR:ELI,Elia Group SA/NV,0.04%,"10,349"
286,TYO:4612,"Nippon Paint Holdings Co., Ltd.",0.04%,"192,100"
287,SWX:BKW,BKW AG,0.04%,"5,511"
288,CAD,CAD CASH,0.04%,"1,726,701"
299,CPH:ROCK.B,Rockwool A/S,0.02%,"22,820"
300,TYO:7181,"Japan Post Insurance Co., Ltd.",0.02%,"29,400"
301,BME:GRF,"Grifols, S.A.",0.02%,"56,827"
302,TSX:IGM,IGM Financial Inc.,0.02%,"17,877"
303,HKG:1038,CK Infrastructure Holdings Limited,0.02%,"100,000"
314,ILS,ILS CASH,0.00%,"314,927"
315,NZD,NZD CASH,0.00%,"65,099"
316,2299955D,CONSTELLATION SOFTWARE INC,0.00%,"6,329"
317,TMIZ5,MINI TPX IDX DEC 25,0.00%,169
318,Z.Z5,FTSE 100 INDEX DEC 25,0.00%,34
319,VGZ5,EURO STOXX 50 DEC 25,0.00%,89
320,CHF,CHF/USD,-0.00%,"-231,950"
321,GBP,GBP/USD,-0.00%,"151,344"
322,USD,USD CASH,-0.02%,"-601,082"
