No.,Symbol,Name,% Weight,Shares
1,NVDA,NVIDIA Corporation,15.12%,"51,267,402"
2,MSFT,Microsoft Corporation,6.46%,"8,121,358"
3,AAPL,Apple Inc.,5.66%,"14,343,463"
4,AVGO,Broadcom Inc.,5.41%,"9,882,588"
5,META,"Meta Platforms, Inc.",5.02%,"4,557,233"
6,GOOGL,Alphabet Inc.,4.80%,"12,222,208"
7,TSLA,"Tesla, Inc.",3.98%,"5,896,053"
8,AMZN,"Amazon.com, Inc.",3.98%,"11,827,208"
9,GOOG,Alphabet Inc.,3.86%,"9,811,786"
10,LLY,Eli Lilly and Company,2.01%,"1,670,352"
11,V,Visa Inc.,1.82%,"3,569,112"
12,JPM,JPMorgan Chase & Co.,1.48%,"3,293,230"
13,NFLX,"Netflix, Inc.",1.44%,"892,840"
14,MA,Mastercard Incorporated,1.44%,"1,734,448"
15,ORCL,Oracle Corporation,1.43%,"3,482,000"
16,BRK.B,Berkshire Hathaway Inc.,1.33%,"1,887,912"
17,PLTR,Palantir Technologies Inc.,1.33%,"4,778,600"
18,COST,Costco Wholesale Corporation,1.26%,"931,785"
19,WMT,Walmart Inc.,0.94%,"6,178,984"
20,IBM,International Business Machines Corporation,0.90%,"1,957,258"
21,CAT,Caterpillar Inc.,0.76%,"984,304"
22,CRM,"Salesforce, Inc.",0.75%,"2,008,671"
153,MLM,"Martin Marietta Materials, Inc.",0.06%,"65,895"
154,IT,"Gartner, Inc.",0.06%,"159,103"
155,PEG,Public Service Enterprise Group Incorporated,0.06%,"492,886"
156,HIG,"The Hartford Insurance Group, Inc.",0.06%,"324,920"
157,PAYX,"Paychex, Inc.",0.06%,"320,349"
158,GDDY,GoDaddy Inc.,0.06%,"290,879"
159,EA,Electronic Arts Inc.,0.06%,"189,291"
160,LVS,Las Vegas Sands Corp.,0.06%,"648,991"
161,RJF,"Raymond James Financial, Inc.",0.05%,"231,187"
162,TPL,Texas Pacific Land Corporation,0.05%,"40,018"
163,NDAQ,"Nasdaq, Inc.",0.05%,"390,506"
164,XYZ,"Block, Inc.",0.05%,"427,274"
165,YUM,"Yum! Brands, Inc.",0.05%,"239,089"
166,LII,Lennox International Inc.,0.05%,"67,173"
167,TSCO,Tractor Supply Company,0.05%,"601,317"
168,WTW,Willis Towers Watson Public Limited Company,0.05%,"98,387"
169,VRSK,"Verisk Analytics, Inc.",0.04%,"129,158"
170,PPL,PPL Corporation,0.04%,"808,016"
171,EXR,Extra Space Storage Inc.,0.04%,"200,725"
172,FSLR,"First Solar, Inc.",0.04%,"119,431"
173,NVR,"NVR, Inc.",0.04%,"3,828"
174,DECK,Deckers Outdoor Corporation,0.04%,"311,661"
175,RL,Ralph Lauren Corporation,0.04%,"81,336"
176,TKO,"TKO Group Holdings, Inc.",0.04%,"142,728"
177,CINF,Cincinnati Financial Corporation,0.04%,"174,143"
206,GNRC,Generac Holdings Inc.,0.02%,"77,255"
207,BLDR,"Builders FirstSource, Inc.",0.02%,"122,165"
208,HST,"Host Hotels & Resorts, Inc.",0.02%,"846,376"
209,MAA,"Mid-America Apartment Communities, Inc.",0.02%,"102,101"
210,ZBRA,Zebra Technologies Corporation,0.02%,"48,659"
211,MAS,Masco Corporation,0.02%,"180,327"
212,CPT,Camden Property Trust,0.02%,"115,722"
213,DPZ,"Domino's Pizza, Inc.",0.02%,"27,525"
214,FDS,FactSet Research Systems Inc.,0.02%,"36,477"
215,UDR,"UDR, Inc.",0.01%,"287,700"
216,DVA,DaVita Inc.,0.01%,"75,106"
217,JKHY,"Jack Henry & Associates, Inc.",0.01%,"62,047"
218,USD,USD CASH,0.01%,"6,502,962"
219,MSFUT,CASH COLLATERAL MSFUT USD,0.00%,"3,006,340"
220,RGYZ5,RUSSELL1000 GRWTH MINI CME DEC 25,0.00%,169
