No.,Symbol,Name,% Weight,Shares
1,NVDA,NVIDIA Corporation,13.85%,"85,378,300"
2,MSFT,Microsoft Corporation,11.50%,"27,098,304"
3,AAPL,Apple Inc.,11.28%,"53,366,111"
4,AVGO,Broadcom Inc.,5.19%,"17,172,611"
5,AMZN,"Amazon.com, Inc.",4.17%,"23,102,155"
6,TSLA,"Tesla, Inc.",3.89%,"10,753,522"
7,META,"Meta Platforms, Inc.",3.67%,"6,223,329"
8,GOOGL,Alphabet Inc.,3.00%,"13,963,991"
9,GOOG,Alphabet Inc.,2.45%,"11,370,056"
10,LLY,Eli Lilly and Company,1.99%,"3,121,316"
11,V,Visa Inc.,1.77%,"6,636,010"
12,NFLX,"Netflix, Inc.",1.42%,"1,651,206"
13,ORCL,Oracle Corporation,1.39%,"6,451,378"
133,KKR,KKR & Co. Inc.,0.06%,"658,639"
134,CAH,"Cardinal Health, Inc.",0.06%,"467,248"
135,SYY,Sysco Corporation,0.06%,"1,012,298"
136,IT,"Gartner, Inc.",0.06%,"291,898"
137,LVS,Las Vegas Sands Corp.,0.06%,"1,212,247"
138,CPAY,"Corpay, Inc.",0.06%,"264,765"
139,HEI.A,HEICO Corporation,0.06%,"292,162"
140,TPL,Texas Pacific Land Corporation,0.05%,"74,929"
141,FTAI,FTAI Aviation Ltd.,0.05%,"396,859"
142,BURL,"Burlington Stores, Inc.",0.05%,"244,854"
143,VRSK,"Verisk Analytics, Inc.",0.05%,"327,257"
144,GDDY,GoDaddy Inc.,0.05%,"535,521"
387,SHC,Sotera Health Company,0.00%,"57,958"
388,GLOB,Globant S.A.,0.00%,"15,648"
389,LBRDA,Liberty Broadband Corporation,0.00%,"14,863"
390,UWMC,UWM Holdings Corporation,0.00%,"126,042"
391,GLIBK,"GCI Liberty, Inc.",0.00%,"17,684"
392,IRDM,Iridium Communications Inc.,0.00%,"38,365"
393,UHAL,U-Haul Holding Company,0.00%,"11,133"
394,GLIBA,"GCI Liberty, Inc.",0.00%,"2,957"
395,RGYZ5,RUSSELL1000 GRWTH MINI CME DEC 25,0.00%,550
