No.,Symbol,Name,% Weight,Shares
1,NRG,"NRG Energy, Inc.",0.75%,"3,063,068"
2,EME,"EMCOR Group, Inc.",0.73%,"701,224"
3,ATO,Atmos Energy Corporation,0.66%,"2,361,511"
4,SW,Smurfit Westrock Plc,0.65%,"8,178,392"
5,,Slcmt1142,0.64%,"3,800,351"
6,WSM,"Williams-Sonoma, Inc.",0.61%,"1,927,016"
7,TPR,"Tapestry, Inc.",0.56%,"3,253,875"
8,JBL,Jabil Inc.,0.55%,"1,597,694"
9,FCNCA,"First Citizens BancShares, Inc.",0.48%,"144,337"
10,FFIV,"F5, Inc.",0.47%,"899,775"
11,USFD,US Foods Holding Corp.,0.47%,"3,624,567"
12,PNR,Pentair plc,0.47%,"2,577,660"
13,APTV,Aptiv PLC,0.46%,"3,411,179"
14,TLN,Talen Energy Corporation,0.45%,"713,002"
15,THC,Tenet Healthcare Corporation,0.45%,"1,455,233"
16,CSL,Carlisle Companies Incorporated,0.44%,"677,657"
17,ACM,AECOM,0.43%,"2,072,746"
18,CG,The Carlyle Group Inc.,0.43%,"3,960,556"
19,EQH,"Equitable Holdings, Inc.",0.43%,"4,761,156"
20,RPM,RPM International Inc.,0.42%,"2,012,000"
21,PFGC,Performance Food Group Company,0.42%,"2,445,480"
22,RS,"Reliance, Inc.",0.41%,"823,899"
385,NHI,"National Health Investors, Inc.",0.09%,"694,973"
386,SIG,Signet Jewelers Limited,0.09%,"615,906"
387,TDS,"Telephone and Data Systems, Inc.",0.09%,"1,341,106"
388,HASI,"HA Sustainable Infrastructure Capital, Inc.",0.09%,"1,902,732"
389,AVNT,Avient Corporation,0.09%,"1,434,082"
390,VIRT,"Virtu Financial, Inc.",0.09%,"1,278,668"
391,TGNA,TEGNA Inc.,0.09%,"2,518,072"
392,INDB,Independent Bank Corp.,0.09%,"746,033"
393,HIW,"Highwoods Properties, Inc.",0.09%,"1,689,071"
394,MATX,"Matson, Inc.",0.09%,"511,449"
395,VC,Visteon Corporation,0.09%,"427,049"
817,TASK,"TaskUs, Inc.",0.01%,"175,993"
818,CLBK,"Columbia Financial, Inc.",0.01%,"205,040"
819,VOYG,"Voyager Technologies, Inc.",0.01%,"99,012"
820,RUSHB,"Rush Enterprises, Inc.",0.01%,"52,012"
821,GDRX,"GoodRx Holdings, Inc.",0.00%,"666,727"
822,OMI,"Owens & Minor, Inc.",0.00%,"568,883"
823,JACK,Jack in the Box Inc.,0.00%,"140,187"
824,SLDE,"Slide Insurance Holdings, Inc.",0.00%,"201,600"
825,CCO,"Clear Channel Outdoor Holdings, Inc.",0.00%,"2,135,316"
826,DNUT,"Krispy Kreme, Inc.",0.00%,"667,485"
827,GEF.B,"Greif, Inc.",0.00%,"34,201"
828,KRO,"Kronos Worldwide, Inc.",0.00%,"359,951"
829,OLPX,"Olaplex Holdings, Inc.",0.00%,"1,562,370"
830,WOLF*.MX,Wolfspeed Inc,0.00%,"609,443"
831,CHYM,"Chime Financial, Inc.",0.00%,"24,166"
832,AC,Accor SA,0.00%,"18,863"
833,CAI,"Caris Life Sciences, Inc.",0.00%,"11,933"
834,,Spirit Mta Reit Rts,0.00%,"334,911"
835,,Pivotal Software Inc - Templine,0.00%,"1,217,861"
836,,Omniab Inc - 12.5,0.00%,"53,581"
837,,Omniab Inc - 15,0.00%,"53,581"
