No.,Symbol,Name,% Weight,Shares
1,JPM,JPMorgan Chase & Co.,3.60%,"23,920,399"
2,BRK.B,Berkshire Hathaway Inc.,3.35%,"13,942,900"
3,XOM,Exxon Mobil Corporation,2.06%,"38,327,371"
4,WMT,Walmart Inc.,1.94%,"39,459,868"
5,JNJ,Johnson & Johnson,1.92%,"21,651,508"
6,ABBV,AbbVie Inc.,1.76%,"15,881,483"
7,HD,"The Home Depot, Inc.",1.73%,"8,948,453"
8,PG,The Procter & Gamble Company,1.55%,"21,057,208"
9,BAC,Bank of America Corporation,1.34%,"54,579,272"
10,UNH,UnitedHealth Group Incorporated,1.34%,"8,141,988"
11,CVX,Chevron Corporation,1.30%,"17,486,233"
12,WFC,Wells Fargo & Company,1.15%,"28,798,501"
13,IBM,International Business Machines Corporation,1.13%,"8,374,209"
14,PM,Philip Morris International Inc.,1.08%,"13,993,646"
15,CSCO,"Cisco Systems, Inc.",1.05%,"32,040,673"
16,ORCL,Oracle Corporation,1.02%,"7,575,399"
17,ABT,Abbott Laboratories,1.00%,"15,646,608"
18,GS,"The Goldman Sachs Group, Inc.",0.99%,"2,595,397"
19,KO,The Coca-Cola Company,0.98%,"30,953,025"
20,RTX,RTX Corporation,0.96%,"12,033,564"
21,CAT,Caterpillar Inc.,0.96%,"4,211,501"
22,LIN,Linde plc,0.96%,"4,215,148"
23,MRK,"Merck & Co., Inc.",0.90%,"22,452,215"
24,DIS,The Walt Disney Company,0.88%,"16,164,626"
25,T,AT&T Inc.,0.87%,"64,283,585"
26,PEP,"PepsiCo, Inc.",0.83%,"12,307,941"
27,MS,Morgan Stanley,0.82%,"10,763,059"
28,MU,"Micron Technology, Inc.",0.80%,"10,060,983"
29,TMO,Thermo Fisher Scientific Inc.,0.79%,"3,394,519"
30,QCOM,QUALCOMM Incorporated,0.77%,"9,700,378"
232,LH,Labcorp Holdings Inc.,0.10%,"746,939"
233,PPG,"PPG Industries, Inc.",0.10%,"2,026,854"
234,NTAP,"NetApp, Inc.",0.10%,"1,794,523"
235,RF,Regions Financial Corporation,0.10%,"8,014,906"
236,EQR,Equity Residential,0.10%,"3,260,435"
237,MKL,Markel Group Inc.,0.10%,"108,005"
238,DOV,Dover Corporation,0.10%,"1,232,165"
239,K,Kellanova,0.10%,"2,499,748"
240,DG,Dollar General Corporation,0.10%,"1,978,326"
308,MOH,"Molina Healthcare, Inc.",0.02%,"244,801"
309,RKT,"Rocket Companies, Inc.",0.02%,"2,191,582"
310,SUI,"Sun Communities, Inc.",0.02%,"282,769"
311,,Slbbh1142,0.02%,"351,984"
312,HRL,Hormel Foods Corporation,0.02%,"1,366,500"
313,FDS,FactSet Research Systems Inc.,0.01%,"85,268"
314,NWS,News Corporation,0.01%,"364,926"
315,LEN.B,Lennar Corporation,0.00%,"15,602"
316,FIG,"Figma, Inc.",0.00%,"4,378"
317,OMC,Omnicom Group Inc.,0.00%,940
